accessContext,technicalComplexity,has_accepted_answer,date_created,technicalDomain,rootCauseCategory,summary,title,causedByOutdatedStack,isDocumentationGap,topic_id
python_client,4,False,2024-07-04 08:35:42.210000+00:00,ingestion,bug_or_limit,"User experienced 'corrupted' collections/shards after performing hourly delta loads using Python 4.5.2, resulting in 'entrypoint was deleted in the object store' errors; DudaNogueira suggests setting TOMBSTONE_DELETION_MAX_PER_CYCLE and upgrading to the latest Weaviate version (1.25.7), resolving the issue.",Best practice of representing sources for RAG applications,True,False,2932
python_client,5,True,2024-05-27 00:45:31.551000+00:00,server_setup,incorrect_configuration,"The problem occurred because a Weaviate data backup was attempted to be restored on an instance with a higher version than the backup was taken from, which resulted in a failure. The solution was to ensure both instances are running the same version.",Problems restoring from weaviate backup,False,False,2489
ts_client,5,True,2024-11-11 15:03:39.252000+00:00,deployment,incorrect_configuration,The issue was resolved when Oleksandr corrected the configuration for connecting to the Weaviate server by specifying the correct host and port between containers.,Weavite client connectToLocal failure,False,False,7539
rest_api,3,True,2024-10-21 21:53:05.142000+00:00,ingestion,conceptual_misunderstanding,"User asked how to print out the list of all file titles ingested in the client in version 4, and the resolution was to use the API to read all objects.",[Docs] Print out all files/docs ingested in the client,False,False,5830
llm_framework,3,True,2025-01-08 06:38:57.767000+00:00,performance_optimization,incorrect_configuration,The user's code had an error due to dimension mismatch between the vector store and the query. The issue was resolved by using the same vectorizer configuration for both Weaviate and Langchain.,"Trying to resolve the error ,here are my code and error",False,False,9620
other,3,False,2024-07-31 09:30:14.234000+00:00,deployment,bug_or_limit,"User 'fr_yuan' encounters an issue with a Weaviate Docker deployment where the 'store is read-only' error occurs when storing data, which is resolved by setting the shard status to READY.",Issue with ‘store is read-only’ in Weaviate Docker Deployment,False,False,3230
rest_api,4,False,2024-12-23 03:03:28.897000+00:00,others,incorrect_usage,"The user received an error while trying to query something using gRPC protocol but unfortunately, no further details were provided. Another user asked for clarification if they had successfully imported any documents before the error occurred.",Query failed: Query call with protocol GRPC search failed with message,False,False,9397
rest_api,5,True,2024-05-21 15:19:06.952000+00:00,deployment,bug_or_limit,Storage issues persist after upgrading to Weaviate version 1.25.4 despite previous fixes.,Constant storage drain without increasing number of vectors,True,True,2406
cloud_console,4,True,2024-09-23 22:53:12.422000+00:00,server_setup,performance,"Storing images in Weaviate using base64 encoding is safe and handled by its blob data type, however, storing large images could impact performance, thus recommending considering high availability in cloud environments and offloading images to external storage services like AWS S3.",Storing images in Weaviate,False,False,4264
cloud_console,5,True,2024-12-10 20:29:17.940000+00:00,deployment,bug_or_limit,"A user asked how to enable multi-tenancy on an existing collection, but was told that it's not possible to update a single-tenant collection to a multi-tenant collection; instead, they must create a new collection with multi-tenancy enabled.",How to enable multi tenancy on the existing collection?,False,False,9191
rest_api,4,True,2025-02-20 09:53:13.163000+00:00,server_setup,incorrect_configuration,"The user wanted to retain Weaviate data after restarting a Docker container, tried several configurations but faced issues like losing data or ""attempted to join and failed"" messages. The solution involved setting the PERSISTENCE_DATA_PATH correctly, specifying the Weaviate version, and ensuring no previous data exists before creating a new schema. ",I want to retain my Weaviate data even If I restart my docker container,False,False,10475
other,4,False,2025-01-24 05:26:37.518000+00:00,security,bug_or_limit,An update issue occurred while updating multiple tenants in parallel due to Weaviate throwing a 401 Unauthorized error and a shard not found error; trying Weaviate version 1.28.4 may provide more informative error messages.,401 Unauthorized When Anonymous Access Enabled,False,False,9876
python_client,3,False,2025-01-21 15:52:06.011000+00:00,ingestion,performance,A user experienced frequent crashes during Weaviate Cloud data migration from 1.25 to 1.28 versions due to numerous errors. A support member suggested adding a code snippet to track and identify the failure reasons to resolve the issue.,Migration cause Weaviate Cloud cluster restart all the time,False,False,9838
rest_api,4,True,2025-01-22 03:38:02.916000+00:00,queries,bug_or_limit,"The user encountered an issue connecting to their pre-existing Weaviate collections using the Weaviate client due to a missing or invalid OpenAI API key, but was later resolved after switching to a non-deprecated API key.",Weird openaikey reference error I've never seen before (and can't find online),False,False,9845
rest_api,5,True,2024-02-29 19:16:10.269000+00:00,integration,conceptual_misunderstanding,"A solution was found by querying Weaviate twice: once to get the matching chunk, and then using its ordinal number to query for the adjacent chunks. Alternatively, Weaviate now supports 'Late Chunking' directly addressing this issue.",Retrieving “Adjacent” Chunks for Better Context,False,False,1603
local,5,True,2024-10-30 09:34:47.810000+00:00,server_setup,incorrect_configuration,"After trying various approaches, including Docker Compose, the user successfully set up Weaviate, Verba, and Ollama by running Weaviate in a Docker image, running Ollama locally, and Verba locally using pip install and verba start. The key issue was configuring the schema and addressing connectivity issues between components.",Locally running RAG pipeline with Verba and Llama3 with Ollama,False,False,7324
python_client,4,True,2024-08-16 20:35:20.507000+00:00,integration,bug_or_limit,"The automatic token generation for Weaviate Cloud using Google AI requires setting the OAuth2 JSON file and environment variables on the server-side, specifically for self-hosted servers, while passing the necessary headers or environment variables on the client-side. A feature request has been raised to enable client-side refresh of Google auth keys.",Google automatic token generation,False,False,3377
python_client,5,True,2024-09-23 10:59:40.683000+00:00,queries,bug_or_limit,"User experienced an AttributeError while attempting to use aggregate function on a collection in Weaviate Cloud, but was able to resolve the issue by using the correct syntax with the aggregation function.",[Question] Running Aggregate against Weaviate Cloud,True,False,4258
llm_framework,3,False,2024-12-03 08:30:53.992000+00:00,deployment,bug_or_limit,"The user is experiencing an 'UnexpectedStatusCodeError' when running Weaviate Vector Store on a Singularity environment due to a missing leader node. Duda suggests setting RAFT_BOOTSTRAP_EXPECT to 1, but Steven tries it without success. Duda offers to investigate further.","{'error': [{'message': 'leader not found'}]} when using LangChain, and Singularity instead of docker",False,False,9067
Using the offcial Weaviate Python client library,4,False,2024-12-12 09:45:06.997000+00:00,ingestion,incorrect_configuration,Summary of the issue and resolution: Chris had issues uploading data to Weaviate due to missing vectorizer configuration and outdated client version. Mohamed Shahin provided guidance on how to resolve these issues by specifying a vectorizer and upgrading to the newer Weaviate Client version v4.,nearText operaion isn't work,True,False,9201
llm_framework,4,True,2024-07-07 10:38:27.782000+00:00,server_setup,conceptual_misunderstanding,"To achieve accurate property recommendations using vector search, consider using a combination of natural language processing techniques, such as chunking and metadata extraction, and machine learning algorithms like GPT-4 to extract relevant features. Additionally, relying solely on vector search may not yield optimal results; instead, use a hybrid approach that includes filtering and ranking properties based on computed features and proximity to desired locations.",Semantic search is not as good as I expected,False,False,2963
llm_framework,2,True,2024-12-04 16:04:41.244000+00:00,queries,bug_or_limit,"The user asked about updating an object through the WeaviateVectorStore module, and the resolution involved passing the UUID of the document as the id parameter when creating a new document with the same ID.",Update an object through LangChain,False,False,9096
rest_api,5,False,2024-09-03 20:43:10.061000+00:00,queries,bug_or_limit,"The empty node in a three-node Weaviate cluster with replication factor 3 fails to provide accurate search results due to its own unavailability of data. This issue arises when querying the 'empty' node with QUORUM or ALL consistency levels. The problem persists even after enabling async replication with version 1.26.3, which is supposed to improve read throughput and availability.",Empty search results when one node (of 3) is not fully replicated,True,False,3971
llm_framework,4,False,2025-03-18 20:43:59.599000+00:00,integration,conceptual_misunderstanding,"The user was confused about the replacement of 'as_retriever' in LangChain v4 with a similar function, but DudaNogueira clarified that hybrid search in the new integration uses both vector and BM25F searches.","Integration of weaviate and langchain, how to use hybrid in v4 like as_retriever in v3",False,False,20030
other,5,False,2024-06-13 04:26:05.786000+00:00,integration,bug_or_limit,"The user asked about integrating Verba Chat into their existing workflow without the UI, possibly through an API or a request. It appears that Verba consumes two APIs and a WebSocket for its functionality, but they are not well-documented. However, users were able to piece together a solution by examining the Chrome DevTools and creating a custom endpoint. They suggest connecting to the Verba instance via the provided credentials and accessing specific endpoints to enable integration.","Is there a way to reach Verba Chat without the UI, through an API or a request for example",False,True,2694
llm_framework,4,True,2024-09-02 13:17:24.031000+00:00,server_setup,bug_or_limit,A problem was encountered where the Weaviate vector store would throw an error after restarting the Weaviate Docker container due to a version issue with the latest image. This was resolved by setting the CLUSTER_HOSTNAME environment variable to '0cfd736f585d'.,Dense search grcp error after restarting weaviate Docker,True,False,3958
rest_api,3,True,2024-03-18 09:46:59.496000+00:00,queries,conceptual_misunderstanding,"The discussion revolves around retrieving all objects from a collection with parallel read and repair, with potentially inconsistent data, and implementing a feature to mark nodes as done processing within the collection.",Read all objects,False,False,1750
python_client,4,True,2024-08-15 18:32:03.399000+00:00,queries,bug_or_limit,Set the environment variable GRPC_MAX_MESSAGE_SIZE to adjust the maximum allowed message length.,GRPC trying to send message larger than max error : when trying collection.query.fetch_objects,False,False,3362
python_client,5,True,2024-12-04 13:09:17.814000+00:00,integration,incorrect_configuration,"To enable filtering on creation time in Weaviate, you need to add `index_timestamps=True` to the `inverted_index_config` when creating the collection, which cannot be changed post-collection creation; instead, you can recreate the collection with the required configuration.",Filtering based on creation_time requires index_timestamps,False,False,9090
python_client,3,True,2024-06-05 08:39:20.362000+00:00,queries,conceptual_misunderstanding,"Weaviate allows filtering by date fields via the Python client using the Filter.by_property method, which applies to both user-defined and meta properties. To filter by user-defined datetime fields, you need to set indexTimestamps to True, and to filter by creation or modified date, the collection needs to be created with the necessary settings.",How to filter by date field,False,False,2618
